,datetime,ID,lat,lon,avg_vel,address
33263,2017-10-17 07:00:00,2701869097,4.359865,50.87128,8.526315789473685,<[OK] Mapquest - Reverse [Quai de Willebroeck - Willebroekkaai]>
32888,2017-10-17 07:00:00,4247469238,4.353791,50.86174,15.071428571428571,<[OK] Mapquest - Reverse [Boulevard Simon Bolivar - Simon Bolivarlaan]>
32912,2017-10-17 07:00:00,4263369928,4.363153,50.86722,0.0,<[OK] Mapquest - Reverse [Rue Destouvelles - Destouvellesstraat]>
31693,2017-10-17 07:00:00,578781027,4.358283,50.85874,3.5,<[OK] Mapquest - Reverse [Rue du March̩ - Marktstraat]>
32029,2017-10-17 07:00:00,75180076,4.35565,50.86116,8.133333333333333,<[OK] Mapquest - Reverse [Boulevard Simon Bolivar - Simon Bolivarlaan]>
31731,2017-10-17 07:00:00,603859455,4.356858,50.85956,6.666666666666667,<[OK] Mapquest - Reverse [Rue des Charbonniers - Koolbrandersstraat]>
32098,2017-10-17 07:00:00,1474772750,4.360188,50.87245,9.62962962962963,<[OK] Mapquest - Reverse [Avenue de la Reine - Koninginnelaan]>
31938,2017-10-17 07:00:00,1871092339,4.354436,50.86447,14.285714285714286,<[OK] Mapquest - Reverse [Quai de Willebroeck - Willebroekkaai]>
34842,2017-10-17 08:00:00,3036099770,4.351681,50.86201,4.764705882352941,<[OK] Mapquest - Reverse [Quai de Willebroeck - Willebroekkaai]>
35066,2017-10-17 08:00:00,1595994575,4.359818,50.87135,13.217391304347826,<[OK] Mapquest - Reverse [Quai de Willebroeck - Willebroekkaai]>
34795,2017-10-17 08:00:00,1474772750,4.358155,50.86229,8.125,<[OK] Mapquest - Reverse [Boulevard du Roi Albert II - Koning Albert II-laan]>
34713,2017-10-17 08:00:00,2701869097,4.358819,50.86354,5.333333333333333,<[OK] Mapquest - Reverse [Rue Rogier - Rogierstraat]>
35366,2017-10-17 08:00:00,1606841784,4.359805,50.87199,12.052631578947368,<[OK] Mapquest - Reverse [Avenue de la Reine - Koninginnelaan]>
35525,2017-10-17 08:00:00,4263369928,4.362125,50.8674,29.547169811320753,<[OK] Mapquest - Reverse [Rue Gaucheret - Gaucheretstraat]>
35169,2017-10-17 08:00:00,4247469238,4.357006,50.86328,17.8,<[OK] Mapquest - Reverse [Chauss̩e d'Anvers - Antwerpsesteenweg]>
33558,2017-10-17 08:00:00,75180076,4.359667,50.87139,11.0,<[OK] Mapquest - Reverse [Quai de Willebroeck - Willebroekkaai]>
33393,2017-10-17 08:00:00,603859455,4.357125,50.86088,4.666666666666667,<[OK] Mapquest - Reverse [Boulevard Simon Bolivar - Simon Bolivarlaan]>
33399,2017-10-17 08:00:00,578781027,4.358899,50.85727,6.0,<[OK] Mapquest - Reverse [Rue du Progr̬s - Vooruitgangstraat]>
33546,2017-10-17 08:00:00,1130542186,4.348132,50.86282,12.135135135135135,<[OK] Mapquest - Reverse [Rue Picard - Picardstraat]>
34043,2017-10-17 08:00:00,1871092339,4.35822,50.8637,20.14814814814815,<[OK] Mapquest - Reverse [Rue Rogier - Rogierstraat]>
37023,2017-10-17 09:00:00,578781027,4.358091,50.85833,4.6,<[OK] Mapquest - Reverse [Rue de la Bienfaisance - Weldadigheidsstraat]>
37638,2017-10-17 09:00:00,1474772750,4.35729,50.86389,16.875,<[OK] Mapquest - Reverse [Rue Rogier - Rogierstraat]>
37640,2017-10-17 09:00:00,603859455,4.358561,50.8591,4.4,<[OK] Mapquest - Reverse [Rue des Charbonniers - Koolbrandersstraat]>
37723,2017-10-17 09:00:00,2701869097,4.359879,50.87114,12.45,<[OK] Mapquest - Reverse [Quai de Willebroeck - Willebroekkaai]>
37268,2017-10-17 09:00:00,75180076,4.359861,50.87111,12.631578947368421,<[OK] Mapquest - Reverse [Quai de Willebroeck - Willebroekkaai]>
37348,2017-10-17 09:00:00,1606841784,4.351655,50.865,11.25,<[OK] Mapquest - Reverse [Place des Armateurs - Redersplein]>
35637,2017-10-17 09:00:00,1595994575,4.358957,50.86281,10.222222222222221,<[OK] Mapquest - Reverse [Boulevard du Roi Albert II - Koning Albert II-laan]>
35691,2017-10-17 09:00:00,4263369928,4.362107,50.86723,23.681818181818183,<[OK] Mapquest - Reverse [Rue Gaucheret - Gaucheretstraat]>
36232,2017-10-17 09:00:00,4247469238,4.360144,50.8715,9.333333333333334,<[OK] Mapquest - Reverse [Quai de Willebroeck - Willebroekkaai]>
36557,2017-10-17 09:00:00,149361818,4.358223,50.87374,29.96969696969697,<[OK] Mapquest - Reverse [Rue Marie-Christine - Maria-Christinastraat]>
39052,2017-10-17 10:00:00,578781027,4.355801,50.85972,3.9411764705882355,<[OK] Mapquest - Reverse [Rue du Peuple - Volksstraat]>
39087,2017-10-17 10:00:00,1474772750,4.359799,50.87133,11.066666666666666,<[OK] Mapquest - Reverse [Quai de Willebroeck - Willebroekkaai]>
38741,2017-10-17 10:00:00,3036099770,4.351995,50.8649,13.107142857142858,<[OK] Mapquest - Reverse [Place des Armateurs - Redersplein]>
39572,2017-10-17 10:00:00,75180076,4.359268,50.87017,15.0,<[OK] Mapquest - Reverse [All̩e Verte - Groendreef]>
39290,2017-10-17 10:00:00,603859455,4.358159,50.85846,5.214285714285714,<[OK] Mapquest - Reverse [Rue du March̩ - Marktstraat]>
38059,2017-10-17 10:00:00,1595994575,4.359799,50.87133,13.961538461538462,<[OK] Mapquest - Reverse [Quai de Willebroeck - Willebroekkaai]>
38161,2017-10-17 10:00:00,1871092339,4.360275,50.87146,18.525,<[OK] Mapquest - Reverse [Quai de Willebroeck - Willebroekkaai]>
38169,2017-10-17 10:00:00,149361818,4.360744,50.87421,13.82258064516129,<[OK] Mapquest - Reverse [Chauss̩e de Vilvorde - Vilvoordsesteenweg]>
37898,2017-10-17 10:00:00,1606841784,4.359169,50.87165,11.454545454545455,<[OK] Mapquest - Reverse [All̩e Verte - Groendreef]>
38443,2017-10-17 10:00:00,4247469238,4.358545,50.86363,10.166666666666666,<[OK] Mapquest - Reverse [Boulevard du Roi Albert II - Koning Albert II-laan]>
38293,2017-10-17 10:00:00,4263369928,4.362178,50.86739,20.962962962962962,<[OK] Mapquest - Reverse [Rue Gaucheret - Gaucheretstraat]>
38410,2017-10-17 10:00:00,2701869097,4.358109,50.86372,6.333333333333333,<[OK] Mapquest - Reverse [Rue Rogier - Rogierstraat]>
40995,2017-10-17 11:00:00,578781027,4.357956,50.85816,7.705882352941177,<[OK] Mapquest - Reverse [Rue du March̩ - Marktstraat]>
41144,2017-10-17 11:00:00,149361818,4.359865,50.87364,18.346153846153847,<[OK] Mapquest - Reverse [Chauss̩e de Vilvorde - Vilvoordsesteenweg]>
41155,2017-10-17 11:00:00,1606841784,4.351591,50.86502,11.1,<[OK] Mapquest - Reverse [Place des Armateurs - Redersplein]>
41236,2017-10-17 11:00:00,603859455,4.358687,50.85906,4.1875,<[OK] Mapquest - Reverse [Rue des Charbonniers - Koolbrandersstraat]>
40669,2017-10-17 11:00:00,4247469238,4.36026,50.87177,16.258064516129032,<[OK] Mapquest - Reverse [Avenue de la Reine - Koninginnelaan]>
40436,2017-10-17 11:00:00,1474772750,4.353361,50.86871,13.633333333333333,<[OK] Mapquest - Reverse [Avenue du Port - Havenlaan]>
40192,2017-10-17 11:00:00,4263369928,4.360837,50.87262,31.866666666666667,<[OK] Mapquest - Reverse [Square Jules De Trooz - Jules De Troozsquare]>
40257,2017-10-17 11:00:00,2701869097,4.359738,50.87133,15.0,<[OK] Mapquest - Reverse [Quai de Willebroeck - Willebroekkaai]>
43037,2017-10-17 12:00:00,1871092339,4.358114,50.86372,19.857142857142858,<[OK] Mapquest - Reverse [Rue Rogier - Rogierstraat]>
42749,2017-10-17 12:00:00,1474772750,4.360271,50.87234,15.476190476190476,<[OK] Mapquest - Reverse [Avenue de la Reine - Koninginnelaan]>
42330,2017-10-17 12:00:00,149361818,4.348197,50.87703,19.30909090909091,<[OK] Mapquest - Reverse [Rue Marie-Christine - Maria-Christinastraat]>
41666,2017-10-17 12:00:00,4263369928,4.362086,50.86718,8.0,<[OK] Mapquest - Reverse [Rue Gaucheret - Gaucheretstraat]>
44061,2017-10-17 13:00:00,1606841784,4.350817,50.86554,8.921052631578947,<[OK] Mapquest - Reverse [Place des Armateurs - Redersplein]>
44206,2017-10-17 13:00:00,1871092339,4.357976,50.86375,22.333333333333332,<[OK] Mapquest - Reverse [Rue Rogier - Rogierstraat]>
